NEGATIVE #	SUBJECT	LOCATION	COUNTY	STATE	COUNTRY	MONTH	DAY	YEAR	PHOTOGRAPHER	GLASS PLATE	CELLULOID	SAFETY FILM	SIZE	BLACK & WHITE	COLOR	4X5 COPY NEGATIVE	35MM SLIDE	PRINT ON FILE	COMMENTS1	COMMENTS2	PUBLISHED
274	CM 5396 Rhinobatus bugesiacus	Solnhofen		Bavaria	Germany														Bayet Collection. Charles Eastman: Fossil fishes from Solnhofen, Bavaria. Memoirs of Carnegie Museum.		
275	CM 4381 Dapedius politus								Sydney Prentice		Y		8x10	Y				Y			
276	CM 4388 Dapedius colei								Sydney Prentice		Y		8x10	Y				Y			
277	CM 5135 Dapedius sp								Sydney Prentice		Y		8x10	Y				Y			
278	CM 5136 Dapedius sp								Sydney Prentice		Y		8x10	Y				Y			
279	CM 5137 Dapedius sp								Sydney Prentice		Y		8x10	Y				Y			
280	CM 4671 Dapedius politus								Sydney Prentice		Y		8x10	Y				Y			
281	CM 4739 Dapedium politus								Sydney Prentice		Y		8x10	Y				Y			
282	CM 4740 Tetragnolis sp								Sydney Prentice		Y		8x10	Y				Y			
283	CM 4399 Notagogus inimontis	Cerin			France					Y			5x7	Y				Y			Eastman: MCM 6(6), pl. 50, fig. 2.
284	CM 4079 Oeonoscopus elongatus	Cerin			France					Y			8x10	Y				Y			Eastman: MCM 6(6), pl. 56, fig. 2
285	CM 4779a Oeonoscopus elongatus HOLOTYPE	Cerin			France					Y			8x10	Y				Y			Eastman: MCM 6(6), pl. 56, fig. 3
286	CM 4081 Pholidophorus sp	Cerin			France					Y			8x10	Y				Y			Eastman: MCM 6(6), pl. 56, fig. 1
287	CM 4084 Microdon bernardi	Cerin			France					Y			8x10	Y				Y			Eastman: MCM 6(6), pl. 52, fig. 1
288	CM 4090 Microdon wagneri	Cerin			France					Y			8x10	Y				Y			Eastman: MCM 6(6), pl. 53, fig. 1
289	CM 4301 Caturus furcatus	Cerin			France					Y			8x10	Y				Y			Eastman: MCM 6(6), pl. 55, fig. 1
290	CM 4320 Microdon wagneri	Cerin			France					Y			8x10	Y				Y			Eastman: MCM 6(6), pl. 53, fig. 2
291	CM 4343 Belonostomus muensteri	Cerin			France					Y			8x10	Y				Y			Eastman: MCM 6(6), pl. 55, fig. 2
292	CM 4396 Leptolepis dubia	Cerin			France					Y			8x10	Y				Y			Eastman: MCM 6(6), pl. 51, fig. 1
293	CM 4666 Microdon sauvanausi	Cerin			France					Y			8x10	Y				Y			Eastman: MCM 6(6), pl. 54, fig. 2
294	CM 5107 Microdon egertoni	Cerin			France					Y			8x10	Y				Y			Eastman: MCM 6(6), pl. 54, fig. 1
295	CM 5112 Belonostomus muensteri	Cerin			France					Y			8x10	Y				Y			Eastman: MCM 6(6), pl. 55, fig. 3
